year,operating_revenue_nok_m,operating_profit_ebit_nok_m,interest_expense_nok_m,total_equity_nok_m,total_noncurrent_liabilities_nok_m,noncurrent_borrowings_nok_m,noncurrent_lease_liabilities_nok_m,current_assets_nok_m,inventory_nok_m,current_liabilities_nok_m,current_borrowings_nok_m,current_lease_liabilities_nok_m,employee_equivalent,employee_measure,total_assets_nok_m,retained_earnings_nok_m,total_liabilities_nok_m,year_end_share_price_nok,shares_outstanding,reported_market_cap_nok_m
2020,9095.7,-23768.4,2690.7,-6623.9,2679.4,0.0,185.7,37686.9,64.1,53498.4,8769.9,3165.4,,,49554.0,-26882.7,56177.9,,,
2021,5067.8,-2786.0,682.3,3269.6,9487.7,3981.6,4434.8,9864.1,16.3,6068.0,183.1,777.9,1809,man-labor years,18825.4,-25029.8,15555.8,,,
2022,18869.3,1502.3,650.0,4203.4,10842.3,4050.0,4646.2,10044.9,81.3,7623.9,198.5,1190.6,3172,man-labor years,22669.6,-24117.1,18466.2,,,
2023,25539.3,2232.1,848.0,5772.6,15816.9,3623.3,8688.8,13043.8,259.6,8960.5,121.9,1591.4,3931,man-labor years,30550.0,-22526.9,24777.4,,,
2024,35316.8,1872.6,1135.0,7240.7,17233.9,2947.6,9301.1,15253.8,501.6,13125.4,1805.1,2023.5,7268,man-labor years,37600.1,-21359.0,30359.3,11.0,963880462,10600.0
2025,37646.0,3732.0,1271.0,7668.0,20335.0,3782.0,11930.0,14513.0,566.0,14028.0,2065.0,1774.0,7398,full-time equivalent,42031.0,-18892.0,34364.0,17.45,1055238919,18400.0
